58,36,93
99,74,88
23,45,78
4,61,74
12,92,32
61,95,60
22,85,36
21,36,34
93,76,49
21,41,74
85,77,85
80,79,79
2,30,50
26,23,43
27,68,79
31,99,67
9,90,82
10,51,60
15,40,13
3,46,78
17,30,81
62,56,9
9,100,33
97,71,62
75,11,79
29,19,61
13,64,48
88,19,40
97,61,80
75,96,78
78,8,60
86,26,99
35,71,23
7,93,59
46,3,99
14,4,42
92,77,68
36,13,27
93,13,64
9,51,31
85,98,70
21,81,86
61,85,90
65,71,79
35,22,30
39,78,53
56,19,19
61,90,69
11,14,77
75,79,34
49,64,94
62,35,82
92,90,27
91,49,73
68,72,79
82,1,22
39,29,12
33,83,78
99,23,74
70,9,28
55,100,58
73,15,58
84,36,74
65,10,57
27,5,73
84,23,52
26,98,4
23,94,33
76,30,78
54,49,93
20,16,56
6,37,43
30,9,16
74,52,85
39,77,64
35,14,46
70,45,80
69,95,36
76,33,78
49,54,69
15,39,11
55,54,30
19,45,98
72,84,35
38,97,60
81,49,80
78,1,49
11,62,39
59,74,81
71,50,10
19,74,77
54,4,86
31,90,38
54,52,60
14,10,71
15,40,38
41,27,5
60,44,82
84,53,17
25,6,80
78,30,85
96,6,10
47,89,66
60,4,61
92,13,63
54,24,18
40,11,64
11,31,76
48,85,58
46,99,57
5,27,42
83,97,10
14,29,93
51,45,53
45,6,79
59,92,13
35,9,32
50,67,100
86,84,40
68,99,83
84,37,8
76,80,92
77,85,38
60,66,58
51,55,78
28,15,6
34,42,100
63,63,1
79,15,78
91,97,44
24,77,70
89,74,18
70,6,4
42,23,67
85,5,53
29,93,35
95,66,35
29,60,66
99,20,37
100,33,60
66,59,30
53,50,7
8,16,21
72,70,51
68,68,51
63,35,38
4,63,70
8,40,37
72,100,93
20,57,81
16,86,25
45,7,49
17,65,91
37,67,60
94,98,16
23,90,80
26,66,84
49,94,67
64,71,23
16,92,57
88,30,73
53,73,32
8,59,18
25,5,15
66,97,79
19,93,12
15,46,38
15,31,89
70,33,23
91,50,39
58,38,75
100,2,12
89,35,39
67,3,17
89,2,97
45,58,15
73,8,59
76,85,50
32,64,100
100,96,88
71,70,87
97,43,59
43,58,70
26,33,94
25,83,93
77,95,35
48,89,14
31,23,43
8,81,86
5,37,71
58,36,78
50,52,42
51,3,68
55,13,41
2,41,100
91,97,92
22,7,41
53,65,10
40,24,32
83,23,36
4,8,95
55,43,44
97,31,60
32,1,27
60,38,94
66,100,1
57,44,4
19,65,6
52,45,44
85,27,60
85,47,63
15,95,90
37,30,95
96,48,21
75,93,11
3,49,59
30,38,55
91,19,28
48,50,58
44,42,64
83,99,81
90,74,3
96,91,85
24,79,21
83,28,48
77,56,32
31,57,29
59,17,90
14,82,42
26,72,60
76,57,72
82,80,35
51,20,9
11,80,81
6,16,6
9,59,37
44,38,25
35,99,96
4,12,43
54,100,35
42,29,28
13,89,86
73,89,53
43,13,16
76,88,16
42,9,18
24,7,87
48,71,90
68,28,72
37,30,66
42,44,35
86,16,23
95,37,68
14,13,14
38,38,43
74,60,57
98,68,54
29,87,81
14,58,82
86,51,97
75,69,40
66,80,68
98,59,32
23,25,67
67,33,17
80,88,100
37,2,90
35,43,70
72,57,94
14,44,82
31,100,63
8,6,83
8,80,72
65,82,57
57,89,44
5,46,84
69,5,7
68,93,26
74,33,84
67,91,88
91,92,97
81,43,35
90,67,66
29,47,28
54,66,70
51,36,53
45,12,16
8,73,44
88,82,18
81,58,90
50,87,55
89,95,29
83,20,66
31,46,1
80,69,63
74,50,93
23,28,6
100,81,55
73,62,19
84,33,44
41,30,100
93,38,50
79,26,93
33,50,6
78,31,64
96,85,46
18,10,46
12,93,40
23,29,36
20,5,54
49,67,49
96,52,56
92,10,90
57,44,89
45,44,57
82,31,81
87,52,41
81,3,87
99,50,69
40,4,57
21,37,97
55,15,67
20,1,93
58,75,48
82,89,14
16,86,6
83,73,92
98,99,21
94,86,67
79,83,7
85,20,1
81,18,32
42,50,14
100,83,12
73,53,13
77,47,82
48,99,89
67,77,55
34,52,91
40,80,6
3,7,91
27,20,3
6,53,25
18,49,71
22,18,34
11,91,49
89,39,43
78,9,4
52,76,17
42,35,37
63,16,26
95,68,38
